This is tfFromAbegg converting dss transcriptions to TF:
source version = 1.0
target version = 0.3
Run started: 2019-05-09T11:29:45.688150

                     => 
0                    => sp=unknown
ncmpd                => sp=subs cl=cmn gn=m nu=p st=d
ncmpdX1cs            => sp=suff cl=cmn gn=m nu=p st=d ps2=1 gn2=c nu2=s
ncmpdX2mp            => sp=suff cl=cmn gn=m nu=p st=d ps2=2 gn2=m nu2=p
ncmpdX2ms            => sp=suff cl=cmn gn=m nu=p st=d ps2=2 gn2=m nu2=s
ncmpdX3fs            => sp=suff cl=cmn gn=m nu=p st=d ps2=3 gn2=f nu2=s
ncmpdX3mp            => sp=suff cl=cmn gn=m nu=p st=d ps2=3 gn2=m nu2=p
ncmpdX3ms            => sp=suff cl=cmn gn=m nu=p st=d ps2=3 gn2=m nu2=s
ncms                 => sp=subs cl=cmn gn=m nu=s
ncms0                => sp=subs cl=cmn gn=m nu=s st=unknown
ncmsX0               => sp=suff cl=cmn gn=m nu=s cl2=unknown
ncmsX1cs             => sp=suff cl=cmn gn=m nu=s ps2=1 gn2=c nu2=s
ncmsX2mp             => sp=suff cl=cmn gn=m nu=s ps2=2 gn2=m nu2=p
ncmsX2ms             => sp=suff cl=cmn gn=m nu=s ps2=2 gn2=m nu2=s
ncmsX3fs             => sp=suff cl=cmn gn=m nu=s ps2=3 gn2=f nu2=s
ncmsX3mp             => sp=suff cl=cmn gn=m nu=s ps2=3 gn2=m nu2=p
ncmsX3ms             => sp=suff cl=cmn gn=m nu=s ps2=3 gn2=m nu2=s
ncmsXd               => sp=suff cl=cmn gn=m nu=s cl2=d
ncmsa                => sp=subs cl=cmn gn=m nu=s st=a
ncmsc                => sp=subs cl=cmn gn=m nu=s st=c
ncmscX0              => sp=suff cl=cmn gn=m nu=s st=c cl2=unknown
ncmscX1cp            => sp=suff cl=cmn gn=m nu=s st=c ps2=1 gn2=c nu2=p
ncmscX1cs            => sp=suff cl=cmn gn=m nu=s st=c ps2=1 gn2=c nu2=s
ncmscX200            => sp=suff cl=cmn gn=m nu=s st=c ps2=2 gn2=unknown nu2=unknown
ncmscX2fp            => sp=suff cl=cmn gn=m nu=s st=c ps2=2 gn2=f nu2=p
ncmscX2fs            => sp=suff cl=cmn gn=m nu=s st=c ps2=2 gn2=f nu2=s
ncmscX2m0            => sp=suff cl=cmn gn=m nu=s st=c ps2=2 gn2=m nu2=unknown
ncmscX2mp            => sp=suff cl=cmn gn=m nu=s st=c ps2=2 gn2=m nu2=p
ncmscX2ms            => sp=suff cl=cmn gn=m nu=s st=c ps2=2 gn2=m nu2=s
ncmscX30s            => sp=suff cl=cmn gn=m nu=s st=c ps2=3 gn2=unknown nu2=s
ncmscX3fp            => sp=suff cl=cmn gn=m nu=s st=c ps2=3 gn2=f nu2=p
ncmscX3fs            => sp=suff cl=cmn gn=m nu=s st=c ps2=3 gn2=f nu2=s
ncmscX3mp            => sp=suff cl=cmn gn=m nu=s st=c ps2=3 gn2=m nu2=p
ncmscX3ms            => sp=suff cl=cmn gn=m nu=s st=c ps2=3 gn2=m nu2=s
ncmsd                => sp=subs cl=cmn gn=m nu=s st=d
ncmsdX1cs            => sp=suff cl=cmn gn=m nu=s st=d ps2=1 gn2=c nu2=s
ncmsdX2mp            => sp=suff cl=cmn gn=m nu=s st=d ps2=2 gn2=m nu2=p
